guid,name,short_description,description,type,status,state,run_mode,has_setup,setup_complete,has_settings,isbundle,template_guid,admin_url,schedule_start_at,schedule_stop_at,schedule_interval,schedule_timezone,icon,icon2,icon3,created_at,updated_at,last_run_at,accountid,accountname
e5e16dd0-9d0b-11eb-ad8f-1fb0628e52c2,"Hackhaton Reload Apps Blend",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/e5e16dd0-9d0b-11eb-ad8f-1fb0628e52c2,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,,,2021-04-14T10:26:39.000000Z,2021-04-14T10:26:39.000000Z,,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
46150920-a0f6-11eb-b5dc-53ceb87c77ae,"Job Logs to Datadog",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/46150920-a0f6-11eb-b5dc-53ceb87c77ae,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/7cdfaa85ee43b1d23edfd059ccbe7bda.png,2021-04-19T10:01:56.000000Z,2021-05-07T15:00:28.000000Z,2021-04-19T10:02:48.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
4e6c1550-a775-11eb-950d-5b2a19d6e0de,"AFAS (updates Friday) (copy)",,,bundle,live,setup,manual,,,,1,83e0eb80-994c-11eb-a0fc-b7ee761f43af,https://alvaropalacios.admin.blendr.io/widgets/4e6c1550-a775-11eb-950d-5b2a19d6e0de,,,,,https://d3943gebd10mx7.cloudfront.net/image/logos/ae4044dbf5248c83233bf2adefe1dff7.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,https://d3943gebd10mx7.cloudfront.net/image/logos/85d3a0d22630858c6d0306fbf5c375a1.png,2021-04-27T16:26:23.000000Z,2021-04-27T16:26:23.000000Z,,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
e3f54250-af0b-11eb-a862-a3f39d2154f5,"Write Job Logs to S3",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/e3f54250-af0b-11eb-a862-a3f39d2154f5,"2021-05-10 17:06:00",,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,https://d3943gebd10mx7.cloudfront.net/image/logos/fe93de9421eb013ea33ef7bc32ef0c00.png,2021-05-07T08:11:56.000000Z,2021-05-11T08:04:00.000000Z,2021-05-10T15:06:31.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
11841570-af27-11eb-9d7f-a9aedece2eae,"Write Error Output Only to S3",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/11841570-af27-11eb-9d7f-a9aedece2eae,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,https://d3943gebd10mx7.cloudfront.net/image/logos/fe93de9421eb013ea33ef7bc32ef0c00.png,2021-05-07T11:26:29.000000Z,2021-05-10T13:10:52.000000Z,2021-05-07T15:00:06.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
25e4a100-b22a-11eb-9128-db5111b49995,"Write Job Logs to S3 (Finished Runs Incrementally)",,"This blend uses the 'List Finished Runs Incrementally' because otherwise we might loose Runs for blends that are running at the moment we execute this blend, i.e. there will be no job log data while blends are running and so we will miss them next execution time.",widget,live,available,scheduled,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/25e4a100-b22a-11eb-9128-db5111b49995,"2021-05-10 17:06:50",,43200,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/74ce5b121244145b0143675e69e195e4.png,https://d3943gebd10mx7.cloudfront.net/image/logos/arrowright.png,https://d3943gebd10mx7.cloudfront.net/image/logos/fe93de9421eb013ea33ef7bc32ef0c00.png,2021-05-11T07:26:05.000000Z,2021-05-27T03:07:45.000000Z,2021-05-27T03:07:45.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
d2cbf140-becc-11eb-8794-f72054b880c7,"Loop & Reduce",,,widget,live,available,manual,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/d2cbf140-becc-11eb-8794-f72054b880c7,,,-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/21dd4ad9985d490e7bfd7a644d783489.png,,https://d3943gebd10mx7.cloudfront.net/image/logos/fe93de9421eb013ea33ef7bc32ef0c00.png,2021-05-27T09:20:48.000000Z,2021-05-27T14:57:03.000000Z,2021-05-27T14:57:03.000000Z,cf255040-61a3-11eb-a423-fffb4aaf2529,"OEM Partner (SaaS Admin)"
69b8a9c0-8703-11eb-b9b6-059ef4ec4561,Strava,"Get your profile info!",,widget,live,available,scheduled,,1,,,79f46fc0-7852-11eb-95d1-5d2fb2a19df9,https://alvaropalacios.admin.blendr.io/widgets/69b8a9c0-8703-11eb-b9b6-059ef4ec4561,"2021-03-17 10:31:08","2021-03-21 10:31:08",86400,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/19880870f8779964c914dc54a5612106.png,,,2021-03-17T09:30:29.000000Z,2021-03-21T09:31:12.000000Z,2021-03-21T09:31:12.000000Z,4c71e370-7139-11eb-8692-9fa726c68f89,Qlik
9a096e70-8704-11eb-ac72-e31adb8a1d44,"Copy of Strava Integration","Get your profile info!",,widget,live,available,scheduled,,1,,,,https://alvaropalacios.admin.blendr.io/widgets/9a096e70-8704-11eb-ac72-e31adb8a1d44,"2021-03-17 10:31:08","2021-03-21 10:31:08",-1,Europe/Paris,https://d3943gebd10mx7.cloudfront.net/image/logos/19880870f8779964c914dc54a5612106.png,,,2021-03-17T09:38:59.000000Z,2021-03-17T16:48:07.000000Z,2021-03-17T16:48:06.000000Z,4c71e370-7139-11eb-8692-9fa726c68f89,Qlik
56063e40-8898-11eb-ab89-7f824e9fa2f0,"Talmundo poc",,,widget,live,available,triggered,,1,1,,891103d0-8893-11eb-bb41-5b865ab22d79,https://alvaropalacios.admin.blendr.io/widgets/56063e40-8898-11eb-ab89-7f824e9fa2f0,,,,,https://d3943gebd10mx7.cloudfront.net/image/logos/bdf2d155fd4e078972c7cf9d4fd5ab29.png,,,2021-03-19T09:49:02.000000Z,2021-03-19T09:49:15.000000Z,2021-03-19T09:49:14.000000Z,37e4fa00-8897-11eb-a7d9-7521b1817b18,blendr_support_test
